numero_registro;denominacion;plazas_autorizadas_numero;plazas_descripcion;tipologia;subtipo;sector;municipio_codigo;municipio_nombre;direccion_via_tipo;direccion_via_codigo;direccion_via_nombre;direccion_portal;direccion_coor_x;direccion_coor_y;direccion_codigo_postal;contacto_telefono;entidad_denominacion;entidad_cif;entidad_naturaleza
C1197;CIUDAD LINEAL, CENTRO OCUPACIONAL;150;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;CALLE;03196;de Josefa Valcarcel;1;444950;4477691;28027; 91 742 22 01;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1199;JUAN DE AUSTRIA, CENTRO OCUPACIONAL;240;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;CALLE;00582;de Arturo Soria;12;445840;4476692;28027;91 377 51 59 / 61 / 62;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1201;NAZARET, CENTRO OCUPACIONAL;155;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;AVDA;10535;de Manoteras;1;443093;4482268;28050;91 302 78 51 / 53;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1202;MAESTRO ALONSO, CENTRO DE DIA;81;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;03585;del Maestro Alonso;6;443608;4475619;28028;913560807;AYUNTAMIENTO DE MADRID;P2807900B;PÚBLICA
C1203;ALCALA DE HENARES, CENTRO DE MAYORES;715;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;005;Alcalá de Henares;CALLE;A0203;Damas;4;468720;4480971;28801;91 888 34 13;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1204;ALCORCON, CENTRO DE MAYORES;740;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;007;Alcorcón;PLAZA;02674;de Orense;1;;;28924;916427321;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1205;ALONSO CANO, CENTRO DE MAYORES;160;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;00244;de Alonso Cano;18;440839;4476713;28003;91 451 44 76 / 78;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1206;ALONSO HEREDIA, CENTRO DE MAYORES;680;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;00249;de Alonso Heredia;2;442854;4476218;28028;91 355 09 89 / 21 03;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1207;ALUCHE, CENTRO DE MAYORES;358;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;08719;de Camarena;181;436020;4471111;28047;91 718 47 00;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1210;EMBAJADORES, CENTRO DE MAYORES;639;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;01924;de los Embajadores;32;440140;4473391;28012;91 467 78 06 /81 23;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1212;GETAFE I, CENTRO DE MAYORES;1459;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;065;Getafe;AVDA;A0197;de las Ciudades;31;439260;4462828;28903;916824312 / 916819457;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1213;RICARDO DE LA VEGA (GETAFE II), CENTRO DE MAYORES;865;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;065;Getafe;CALLE;A0561;del Padre Blanco;1;;;28901;91 683 16 26 / 56;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1214;LEGANES I, CENTRO DE MAYORES;552;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;074;Leganés;AVDA;A0242;de la Mancha;33;435511;4465044;28912;916861444 / 916870224;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1216;MOSTOLES, CENTRO DE MAYORES;581;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;092;Móstoles;CALLE;A0318;Río Jarama;1;426009;4463435;28934;916145111;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1217;PARLA, CENTRO DE MAYORES;348;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;106;Parla;CALLE;00067;Humanes;27;434262;4454333;28981;91 699 01 12 / 72 71;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1218;PINTO, CENTRO DE MAYORES;362;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;113;Pinto;CALLE;A0080;de los Coronados;7;440477;4454821;28320;91 691 14 10;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1220;PUENTE DE VALLECAS, CENTRO DE DIA;24;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Personas mayores;079;Madrid;CALLE;00608;del Arroyo del Olivar;106;444142;4471263;28018;91 778 71 65 / 78 55;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1221;SAGASTA, CENTRO DE MAYORES;384;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;05315;de Sagasta;13;440622;4475580;28004;91 445 61 38 / 63 90;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1222;SAN BLAS, CENTRO DE MAYORES;664;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;AVDA;10627;de Guadalajara;69;447660;4474659;28032;91 313 59 30;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1223;SAN CRISTOBAL, CENTRO DE MAYORES;100;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;00801;de Benimamet;117;441846;4466190;28021;917950207 / 0450;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1224;SAN FERMIN, CENTRO DE MAYORES;508;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;AVDA;05433;de San Fermín;15;441368;4469225;28041;917921262;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1225;SAN SEBASTIAN DE LOS REYES I, CENTRO DE DIA;30;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Personas mayores;134;San Sebastián de los Reyes;CALLE;00135;del Pilar;6;446778;4488840;28700;91 652 26 10;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1226;TETUAN, CENTRO DE MAYORES;602;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;01161;de las Carolinas;33;440087;4478059;28039;91 553 75 12/91 456 08 63;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1227;TRES CANTOS, CENTRO DE MAYORES;172;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;903;Tres Cantos;SECT;00010;Descubridores;24;439315;4495716;28760;91 803 82 27;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1228;USERA, CENTRO DE MAYORES;908;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;01142;de Carmen Bruguera;33;440236;4471027;28026;91 476 93 76/91 476 90 93/91 392 03 20;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1229;VILLA DE VALLECAS, CENTRO DE MAYORES;320;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;05831;de Sierra de Palomeras;5;447079;4469910;28031;91 303 52 83/91 303 57 56;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1230;VILLALBA, CENTRO DE MAYORES;185;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;047;Collado Villalba;CALLE;A0214;Morales Antuñano;9;414647;4497981;28400;91 850 03 48/91 849 19 78;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1231;VILLAVERDE ALTO, CENTRO DE MAYORES;540;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;10471;de Santa Joaquina de Vedruna;1;439298;4466055;28021;91 798 16 60;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1232;VILLAVERDE BAJO, CENTRO DE MAYORES;465;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;02316;de Francisco del Pino;32;441536;4466818;28021;91 798 13 51;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1233;VIRGEN DE BEGOÑA, CENTRO DE MAYORES;272;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;10533;de la Virgen de Aránzazu;28;441585;4482030;28034;91 358 08 02/91 358 24 34;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1236;CENTRO DE MAYORES VILLA DE VALLECAS - DEPENDENCIAS ENTREVIAS;94;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;10019;de Benamejí;102;443365;4470022;28053;917858973 / 638213897;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1239;LOS CARMENES, CENTRO DE MAYORES;239;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;GTA;10581;de Los Cármenes;2;436885;4471852;28047;91 276 16 00 / 01 / 02;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1242;SAN NICOLAS, CENTRO DE MAYORES;116;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;05589;de Sánchez Preciado;43;439724;4479215;28039;914507610;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1243;CANARIAS, COMEDOR SOCIAL;64;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Otros grupos en situación de necesidad;079;Madrid;CALLE;01024;CANARIAS;5;440835;4472630;28007;915271729;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1245;SANTA ISABEL, COMEDOR SOCIAL;100;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Otros grupos en situación de necesidad;079;Madrid;CALLE;02437;de Galileo;14;439755;4475871;28015;91 447 92 92;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1246;LAS ACACIAS, RESIDENCIA INFANTIL;50;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;079;Madrid;CALLE;02524;del General Ricardos;177;437495;4470772;28025;91 462 84 26;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1247;ALCORCON, RESIDENCIA INFANTIL;16;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;007;Alcorcón;AVDA;00671;de las Flores;70;431590;4467661;28925;91 611 80 51;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1248;EL ARCE ROJO, RESIDENCIA INFANTIL;20;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;058;Fuenlabrada;CALLE;A0340;Navarra;23;432190;4461108;28941;91 697 11 57;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1251;CASA DE LOS NIÑOS, RESIDENCIA DE PRIMERA INFANCIA;40;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia;079;Madrid;CTRA;01389;M-607 Colmenar Viejo;12,8;442002;4485067;28049;917343082;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1253;CHAMBERI, RESIDENCIA INFANTIL;52;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;079;Madrid;CALLE;02187;de Fernández de los Ríos;37;439840;4476286;28015;91 446 42 01;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1254;EL ENCINAR, RESIDENCIA INFANTIL;39;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;079;Madrid;CALLE;02074;del Estrecho de Mesina;1;444714;4478176;28043;91 7595457 / 77;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1255;ISABEL CLARA EUGENIA, CENTRO DE PRIMERA ACOGIDA;93;Plazas totales;CENTROS DE ACOGIDA;CENTROS DE ACOGIDA DE MENORES;Infancia y Adolescencia;079;Madrid;CALLE;03731;del Mar Caspio;8;445401;4480488;28033;91 763 32 41;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1256;ISABEL DE CASTILLA, RESIDENCIA INFANTIL;64;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;079;Madrid;CALLE;05831;de Sierra de Palomeras;12;447016;4469806;28031;91 303 00 16;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1257;CENTRO DE ADAPTACION CULTURAL Y SOCIAL MANZANARES (CACYS), RESIDENCIA DE ADOLESCENTES;32;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;079;Madrid;CALLE;00582;de Arturo Soria;124;444845;4477820;28043;91 415 15 90;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1258;PARLA, RESIDENCIA INFANTIL;20;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;106;Parla;CALLE;00877;Venecia;22;435423;4454418;28982;91 699 45 50;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1259;NUESTRA SEÑORA DE LOURDES, RESIDENCIA INFANTIL;46;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;152;Torrelodones;CALLE;00213;Herrador;2;419369;4491936;28250;918590252;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1260;PICON DE JARAMA RESIDENCIA ESPECIALIZADA DE ADAPTACION PSICOSOCIAL;50;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;104;Paracuellos de Jarama;CALLE;00421;de Santa Ana;27;454932;4483645;28860;916580028;COMUNIDAD DE MADRID (CONSEJERIA DE POLITICAS SOCIALES, FAMILIAS, IGUALDAD Y NATALIDAD);S7800001E;PÚBLICA
C1261;ROSA, RESIDENCIA DE PRIMERA INFANCIA;33;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;079;Madrid;PASEO;02700;de la Habana;173;442381;4479653;28036;91 345 51 73;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1264;EL VALLE, RESIDENCIA DE PRIMERA INFANCIA;39;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia;079;Madrid;AVDA;06232;del Valle;22;439327;4477274;28003;915535614;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1265;VALLEHERMOSO, RESIDENCIA INFANTIL;70;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;079;Madrid;CALLE;02187;de Fernández de los Ríos;42;439878;4476307;28015;91 446 55 03;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1266;HORTALEZA, CENTRO DE PRIMERA ACOGIDA;52;Plazas totales;CENTROS DE ACOGIDA;CENTROS DE ACOGIDA DE MENORES;Infancia y Adolescencia;079;Madrid;CALLE;10584;de Valdetorres de Jarama;1;445128;4480438;28033;917642900;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1270;ALCALA DE HENARES, RESIDENCIA INFANTIL;18;Plazas totales;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;Infancia y Adolescencia;005;Alcalá de Henares;CALLE;A0269;Fernando de Flandes;16;470492;4482240;28805;918837321;AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS);Q2801283I;PÚBLICA
C1285;LAS MATAS, RESIDENCIA PERSONAS MAYORES;177;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;127;Rozas de Madrid, Las;CALLE;02894;Monte;11;424072;4490423;28290;916301029;RESIDENCIA TERCERA EDAD LAS MATAS, S.A.;A80966419;PRIVADA CON ÁNIMO DE LUCRO
C1286;MI CASITA, RESIDENCIA PERSONAS MAYORES;21;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;061;Galapagar;CALLE;A0424;Navamora;6;415735;4491365;28260;918582518;GESTION DE ASUNTOS SOCIALES S.L.;B86328184;PRIVADA CON ÁNIMO DE LUCRO
C1301;PISO TUTELADO RAFAEL;11;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Personas con discapacidad intelectual;115;Pozuelo de Alarcón;CALLE;A0099;Benito Quemada;6;432191;4478556;28224;91 352 56 49;ASOCIACION DESARROLLO DE LA PEDAGOGIA CURATIVA Y SOCIOTERAPIA DE RUDOLF STEINER;G78772175;PRIVADA SIN ÁNIMO DE LUCRO
C1302;BOHONAL CENTRO DE DIA;20;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Infancia y Adolescencia;079;Madrid;CALLE;09406;de Bohonal;27;442564;4470146;28053;915076281;ASOCIACION CIUDAD JOVEN;G78899903;PRIVADA SIN ÁNIMO DE LUCRO
C1311;HOGAR VILLAVICIOSA, PISO TUTELADO;8;Plazas totales;CENTROS RESIDENCIALES;PISOS TUTELADOS;Infancia y Adolescencia;079;Madrid;CALLE;08329;de Villaviciosa;5;434924;4472243;28024;915188878;FUNDACION ANAR;G80453731;PRIVADA SIN ÁNIMO DE LUCRO
C1313;CENTRO OCUPACIONAL LAS VICTORIAS AFANIAS;50;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;CALLE;09217;de Fray Junipero Serra;27;440608;4479529;28039;91 571 52 16 / 91 571 17 35;AFANIAS, ASOCIACION PRO-PERSONAS CON DISCAPACIDAD INTELECTUAL;G28303790;PRIVADA SIN ÁNIMO DE LUCRO
C1314;CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS MARIA ZAMBRANO;52;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;005;Alcalá de Henares;CALLE;A0543;Pedro de Lerma;2;467849;4480842;28802;918826119;AYUNTAMIENTO DE ALCALA DE HENARES;P2800500G;PÚBLICA
C1315;CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS GIL DE ANDRADE;107;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;005;Alcalá de Henares;CALLE;A0422;Luis Madrona;1;470409;4482055;28805;91 888 33 00;AYUNTAMIENTO DE ALCALA DE HENARES;P2800500G;PÚBLICA
C1316;CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS MANUEL AZAÑA;96;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;005;Alcalá de Henares;CALLE;A0634;Río Torcón;1;469018;4480297;28803;918823294;AYUNTAMIENTO DE ALCALA DE HENARES;P2800500G;PÚBLICA
C1318;CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS CERVANTES;194;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;005;Alcalá de Henares;PASEO;A0257;de la Estación;10;469156;4481962;28807;918837648;AYUNTAMIENTO DE ALCALA DE HENARES;P2800500G;PÚBLICA
C1319;CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS REYES CATOLICOS;105;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;005;Alcalá de Henares;CALLE;A0293;Gardenia;S/N;;;28803;918883300;AYUNTAMIENTO DE ALCALA DE HENARES;P2800500G;PÚBLICA
C1320;NAVASALUD, RESIDENCIA DE PERSONAS MAYORES;28;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;061;Galapagar;CALLE;A0146;Colada Charco de la Hoya;10;416471;4494765;28420;91 858 41 81;REGERINT, S.L.;B81894644;PRIVADA CON ÁNIMO DE LUCRO
C1321;ESTAR 5, CENTRO OCUPACIONAL;40;Capacidad máxima simultánea;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;Personas con discapacidad intelectual;079;Madrid;CMNO;;de las Hormigueras;122;;;28031;91 554 36 37 / 91380 31 07;FUNDACION SER;G82725516;PRIVADA SIN ÁNIMO DE LUCRO
C1333;AMAFE, CENTRO DE DIA;40;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Personas con enfermedad mental crónica;079;Madrid;CALLE;05295;de Ruiz Perelló;7;443446;4475701;28028;913612768;ASOCIACION MADRILEÑA DE AMIGOS Y FAMILIAS DE ENFERMOS CON ESQUIZOFRENIA (AMAFE);G79317962;PRIVADA SIN ÁNIMO DE LUCRO
C1335;LOS CHOPOS, RESIDENCIA DE PERSONAS MAYORES;17;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;030;Cabrera, La;AVDA;00116;de la Cabrera;46;448383;4523976;28751;91 868 83 89;GONZALEZ-ANDRIO JIMENEZ, ALVARO;;PRIVADA CON ÁNIMO DE LUCRO
C1336;ESPERANZA DE CANILLAS, CLUB DE PENSIONISTAS;98;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;079;Madrid;CALLE;10297;de Calanda;3;445317;4479139;28043;91 300 19 63;"ASOCIACION DE PENSIONISTAS ""ESPERANZA DE CANILLAS""";G28696425;PRIVADA SIN ÁNIMO DE LUCRO
C1341;LOS PINOS (VALDETORRES), RESIDENCIA DE PERSONAS MAYORES;21;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;164;Valdetorres de Jarama;AVDA;A0017;Calderón de la Barca;1;455657;4503648;28150;91 841 57 02;HERMANOS OCHOA JARAMA, S.L.;B82536392;PRIVADA CON ÁNIMO DE LUCRO
C1342;PARQUE DE LOS FRAILES, RESIDENCIA DE PERSONAS MAYORES;220;Plazas totales;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;Personas mayores;074;Leganés;CALLE;A0158;de los Frailes;12;434303;4463245;28914;91 693 40 00;COMUNIDAD DE MADRID (CONSEJERIA DE POLITICAS SOCIALES, FAMILIAS, IGUALDAD Y NATALIDAD);S7800001E;PÚBLICA
C1343;PARQUE DE LOS FRAILES, CENTRO DE DIA;40;Capacidad máxima simultánea;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;Personas mayores;074;Leganés;CALLE;A0158;de los Frailes;12;434303;4463245;28914;91 693 40 00;COMUNIDAD DE MADRID (CONSEJERIA DE POLITICAS SOCIALES, FAMILIAS, IGUALDAD Y NATALIDAD);S7800001E;PÚBLICA
C1346;HOGAR PARA PERSONAS MAYORES DE TORREJON DE ARDOZ;100;Capacidad máxima simultánea;CENTROS DE DÍA;HOGARES Y CLUBES;Personas mayores;148;Torrejón de Ardoz;AVDA;00143;Madrid;S/N;;;28850;916560912;COMUNIDAD DE MADRID (CONSEJERIA DE POLITICAS SOCIALES, FAMILIAS, IGUALDAD Y NATALIDAD);S7800001E;PÚBLICA
C1347;CENTRO DE REHABILITACION PSICOSOCIAL ALCALA DE HENARES;80;Capacidad máxima simultánea;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;Personas con enfermedad mental crónica;005;Alcalá de Henares;CALLE;A0521;Pablo Coronel;18;468084;4480911;28802;91 882 38 84 / 39 84;COMUNIDAD DE MADRID (CONSEJERIA DE POLITICAS SOCIALES, FAMILIAS, IGUALDAD Y NATALIDAD);S7800001E;PÚBLICA
C1348;CENTRO DE REHABILITACION PSICOSOCIAL LA ELIPA;80;Capacidad máxima simultánea;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;Personas con enfermedad mental crónica;079;Madrid;CALLE;06966;de María Teresa Sáenz de Heredia;18;444573;4474963;28017;91 405 58 67;COMUNIDAD DE MADRID (CONSEJERIA DE POLITICAS SOCIALES, FAMILIAS, IGUALDAD Y NATALIDAD);S7800001E;PÚBLICA
C1349;CENTRO DE REHABILITACION PSICOSOCIAL LOS CARMENES;90;Capacidad máxima simultánea;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;Personas con enfermedad mental crónica;079;Madrid;CALLE;03797;de María Martínez;2;437875;4470564;28025;91 462 10 63;COMUNIDAD DE MADRID (CONSEJERIA DE POLITICAS SOCIALES, FAMILIAS, IGUALDAD Y NATALIDAD);S7800001E;PÚBLICA
C1350;CENTRO DE REHABILITACION PSICOSOCIAL MARTINEZ CAMPOS;80;Capacidad máxima simultánea;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;Personas con enfermedad mental crónica;079;Madrid;PASEO;02508;del General Martínez Campos;36;441227;4476268;28010;91 319 32 08;COMUNIDAD DE MADRID (CONSEJERIA DE POLITICAS SOCIALES, FAMILIAS, IGUALDAD Y NATALIDAD);S7800001E;PÚBLICA
